Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
C8orf70	-1.2161	-1.6487	-1.5107	-1.6686	-1.4162	-1.2326	-1.543	-1.5975	-1.5081	-1.392	-1.2526	-1.283	-1.5372	-1.2731	-1.4175	-1.47	-1.4652	-1.856	-1.6461	-1.5352	-1.5114	-1.645	-1.3868	-1.4551	-1.4563	-1.3202	-1.3373
C8orf73	0.10835	0.10665	0.26295	0.08095	0.25105	0.16045	0.09065	-0.01515	-0.01205	0.20505	0.32995	0.01835	0.07105	0.12415	-0.01725	0.20515	0.02255	0.22305	0.05435	-0.04745	-0.02025	0.04205	0.09325	0.14555	0.05675	0.11685	0.02775
C8orf76	0.2504	0.4156	0.3158	0.3406	0.2766	0.3778	0.3573	0.3657	0.228	0.3033	0.33	0.1845	0.4888	0.3863	0.2166	0.3109	0.4236	0.2156	0.3802	0.5319	0.4495	0.3437	0.2265	0.2599	0.3926	0.3757	0.2061
C8orf79	-2.583984615	-1.369384615	-2.765184615	-1.001184615	-2.535084615	-2.504384615	-2.624284615	-2.596284615	-1.084984615	-2.679384615	-2.330684615	-2.499784615	-2.500584615	-2.546084615	-2.716184615	-1.836484615	-1.766484615	-2.228884615	-1.785384615	-1.073784615	-1.464284615	-1.717684615	-1.919684615	-2.142584615	-1.512584615	-2.769984615	-1.499684615
C8ORFK29	-0.8129	-0.7779	-0.6181	-1.1806	-0.6197	-0.6736	-0.8301	-1.1723	-1.1264	-0.9127	-0.5472	-0.7456	-0.7949	-0.7215	-0.9507	-0.7872	-0.6291	-1.0253	-0.7869	-0.632	-0.6527	-1.0426	-0.3756	-0.7744	-1.6237	-0.8624	-0.8062
C9	-0.5305	-0.5544	-0.5215	-0.5214	-0.5358	-0.5001	-0.5209	-0.5125	-0.5406	-0.5355	-0.4951	-0.5436	-0.5318	-0.5159	-0.5296	-0.5309	-0.5618	-0.5374	-0.5463	-0.5269	-0.5678	-0.5498	-0.5264	-0.5438	-0.5445	-0.5433	-0.5523
C9orf100	0.832875	0.906675	0.972475	1.071375	0.957975	0.786275	0.951475	0.713675	1.042775	0.881575	0.890875	0.626975	0.979975	0.853275	1.015075	1.165175	1.000275	0.822675	0.709275	0.877275	0.860975	0.751075	1.016175	0.816875	0.645675	0.864875	1.297375
C9orf102	-0.5659	-0.4615	-0.3201	-0.5392	-0.6453	-0.5867	-0.5054	-0.3013	-0.3983	-0.5485	-0.4289	-0.3758	-0.5771	-0.2811	-0.5643	-0.2611	-0.2733	-0.6276	-0.5788	-0.3697	-0.58	-0.5444	-0.4571	-0.6959	-0.4822	-0.4346	-0.7924
C9orf103	-1.7916	-1.6527	-1.7958	-1.9995	-1.9843	-1.9273	-1.9756	-1.5787	-1.7809	-1.9476	-1.6549	-1.407	-1.9204	-1.8292	-2.1781	-1.9763	-2.0171	-1.6624	-1.7101	-1.3611	-1.5431	-1.9292	-1.5487	-1.7471	-1.3063	-1.3412	-2.1382
C9orf11	1.509266667	0.634666667	1.782166667	1.461166667	0.742966667	1.698066667	1.097366667	1.115766667	1.271166667	0.889966667	1.236566667	0.675466667	1.730066667	2.323066667	1.265866667	0.845466667	0.669666667	0.887866667	1.080766667	1.742266667	0.908066667	1.421266667	1.078466667	0.462666667	0.979866667	1.410866667	0.771566667
C9orf114	1.2918	1.4523	1.4447	1.3884	1.352	1.2771	1.3666	1.1046	1.3284	1.4138	1.456	1.3104	1.108	1.2676	1.2695	1.5515	1.4836	1.6342	1.5728	1.2083	1.3624	1.5414	1.3735	1.3351	1.7416	1.4275	1.2097
C9orf116	-1.268527273	-0.707927273	-0.498927273	-0.692327273	-0.839527273	-0.871627273	-0.838427273	-1.149127273	-0.293127273	-0.650627273	-0.751127273	-0.034727273	-0.405627273	-0.926827273	-0.546327273	-1.058127273	-1.095127273	-0.746827273	-0.824827273	-0.911127273	-0.717127273	-0.911927273	-1.082127273	-0.628227273	-0.629327273	-0.415527273	-0.984427273
C9orf117	-0.44235	-0.47275	-0.34465	-0.34895	-0.27775	-0.33175	-0.40225	-0.33265	-0.36285	-0.27495	-0.33195	-0.20795	-0.38875	-0.36735	-0.40595	-0.59415	-0.19815	-0.52685	-0.35895	-0.35705	-0.20175	-0.44105	-0.35215	-0.18525	-0.57115	-0.60005	-0.44175
C9orf119	0.2299	0.3729	0.4238	0.0557	0.229	0.3673	0.2833	0.2535	0.2465	0.283	0.1877	0.5423	0.4317	0.2618	0.0239	0.3174	0.2619	0.2934	0.1348	0.3452	0.1805	0.1357	0.191	0.2636	0.2809	0.4726	0.0104
C9orf123	-0.8735125	-1.1938125	-1.2759125	-0.7731125	-1.1930125	-0.7863125	-1.0129125	-0.2377125	-0.8285125	-1.4437125	-0.8305125	-0.5163125	-0.9884125	-0.6925125	-0.3539125	-0.7679125	-0.6362125	-0.7007125	-0.8700125	-0.9633125	-0.7154125	-0.5550125	-0.8624125	-1.0511125	-0.9504125	-0.7576125	-0.9151125
C9orf125	-4.7019625	-4.7212625	-4.7449625	-4.7707625	-4.6040625	-2.9959625	-4.6456625	-2.3238625	-4.6098625	-4.5744625	-4.6338625	-4.7218625	-3.2278625	-4.7183625	-4.8201625	-2.6522625	-2.4191625	-3.3379625	-2.8606625	-4.7177625	-2.5716625	-4.7212625	-2.6077625	-4.4671625	-4.9993625	-3.0771625	-3.0372625
C9orf126	0.557	0.8368	0.9615	0.7282	0.1065	0.2311	0.7438	0.7812	0.7635	0.7951	0.4476	0.2951	1.0811	1.0831	0.8178	0.9676	1.042	0.5748	0.701	0.9465	0.4689	0.5251	0.6611	0.3267	0.6444	0.6093	0.5527
C9orf127	-1.502646154	-1.898346154	-1.519446154	-1.766946154	-1.527046154	-1.412046154	-1.688946154	-1.624646154	-1.747046154	-1.601046154	-1.461546154	-1.382646154	-1.406146154	-2.152446154	-1.776746154	-1.027946154	-1.063046154	-1.596646154	-1.956846154	-1.563446154	-1.864646154	-1.786846154	-1.370446154	-1.905046154	-1.912546154	-1.371646154	-1.322946154
C9orf128	-0.1535	-0.1717	-0.1452	-0.1486	0.1331	-0.1306	-0.1415	-0.1336	-0.1635	-0.2193	0.2201	0.0008	-0.162	-0.163	-0.1558	-0.28	-0.1826	-0.1442	-0.1613	-0.1564	-0.2937	-0.1638	-0.1521	-0.1862	-0.1658	-0.1658	-0.5525
C9orf131	-0.3107	-0.3352	-0.3015	-0.301	-0.0508	-0.2795	-0.3015	-0.293	-0.3207	0.1938	-0.5294	-0.0524	-0.3111	-0.2933	0.1207	-0.3109	-0.3422	-0.1033	-0.3275	-0.3064	-0.1577	-0.2002	-0.3064	-0.0493	-0.5703	-0.3321	-0.2891
C9orf135	0.5486375	0.5362375	0.5574375	0.5503375	0.7410375	0.5641375	0.5623375	0.5698375	0.5392375	0.6331375	0.5266375	0.7100375	0.5343375	0.5188375	0.5439375	0.3876375	0.2953375	0.5704375	0.5479375	0.3599375	0.5711375	0.4330375	0.5474375	0.6530375	0.5368375	0.5364375	0.5422375
C9orf138	-0.406018182	-0.442618182	-0.397718182	-0.401918182	-0.354818182	-0.384718182	-0.393618182	-0.385818182	-0.415918182	-0.364118182	-0.365918182	-0.063918182	-0.415918182	-0.420018182	-0.411218182	-0.407818182	-0.434618182	-0.393818182	-0.412218182	-0.410018182	-0.311818182	-0.414618182	-0.405118182	-0.293618182	-0.418218182	-0.631518182	-0.488818182
C9orf139	0.1368	-0.5278	-0.5879	-0.7959	-0.281	-0.8565	-0.5967	-0.5957	-0.7889	-0.2301	-0.6381	-0.2181	-0.508	-0.5683	-0.4882	-0.0499	-0.1029	-0.4066	-0.4243	-0.8146	-0.245	-0.3678	-0.1028	-0.144	-0.2555	-0.6358	-0.2983
C9orf14	0.050933333	0.035733333	0.059433333	0.054033333	-0.136266667	0.070033333	0.064033333	0.071733333	0.041233333	0.066133333	0.091833333	0.105133333	0.039233333	0.030533333	0.047333333	0.048933333	0.022933333	0.067333333	0.047033333	0.045233333	0.202633333	0.044933333	0.051033333	0.016433333	0.039033333	0.038733333	-0.132566667
C9orf140	1.5247	0.8076	0.8803	0.9409	1.1709	0.8884	1.2685	1.0709	1.1728	1.0904	1.2919	0.8463	0.8552	0.8922	0.1491	1.565	1.5394	0.7315	1.3585	0.9747	1.1732	1.2336	1.2798	0.8256	0.8869	0.9989	1.0944
C9orf142	0.1302	-0.0116	0.3194	0.2265	0.3681	0.4353	0.3515	0.0986	0.4251	0.1004	0.462	0.3138	0.152	-0.079	0.0604	0.6064	0.4979	0.3686	0.1884	0.188	0.1746	0.1686	0.3771	0.3204	0.4206	0.275	0.2287
C9orf150	-0.3859875	-0.2174875	-0.3607875	-0.2324875	-0.2922875	0.3467125	-0.5587875	-0.5212875	-0.9137875	-0.2135875	0.0491125	-0.8862875	-0.6240875	-0.2470875	-0.2026875	-0.6827875	-0.9259875	0.1428125	0.0587125	-0.1563875	-0.1990875	0.1188125	0.4481125	-0.0827875	-0.7004875	-0.3988875	-0.5585875
C9orf153	0.561	0.5073	0.5706	0.5586	0.5377	0.5646	0.5758	0.5828	0.5526	0.2137	0.4519	0.5834	0.5386	0.5065	0.487	0.2538	0.2764	0.3278	0.5684	0.5471	0.559	0.3917	0.3317	0.7329	0.2699	0.4561	0.1033
C9orf156	0.4207	0.3728	0.6386	0.1972	0.2981	0.5316	0.4105	0.512	0.3812	0.3797	0.5608	0.5143	0.2496	0.3612	0.0417	0.526	0.43	0.3463	0.4897	0.6937	0.4523	0.3482	0.6094	0.4151	0.5222	0.3471	0.4056
C9orf16	-1.4725375	-1.1754375	-1.0027375	-1.2114375	-0.9956375	-1.1103375	-1.1161375	-1.2037375	-1.2797375	-1.0662375	-0.8610375	-0.8810375	-1.2894375	-1.3026375	-1.4721375	-0.9786375	-1.1376375	-1.2531375	-1.2821375	-1.1810375	-1.1996375	-1.2588375	-1.3005375	-1.1620375	-1.2414375	-1.2926375	-1.4665375
C9orf163	-0.589366667	-0.597766667	-0.513566667	-0.533766667	-0.466366667	-0.626566667	-0.606166667	-0.560566667	-0.519066667	-0.536966667	-0.441966667	-0.584566667	-0.627966667	-0.586366667	-0.708266667	-0.305266667	-0.484966667	-0.568166667	-0.578566667	-0.460666667	-0.795166667	-0.637366667	-0.649766667	-0.570166667	-0.716166667	-0.691066667	-0.672966667
C9orf164	-2.0549	-3.3693	-3.4026	-3.4504	-3.0084	-3.2618	-3.2685	-3.3126	-3.2699	-3.4974	-3.2885	-2.2298	-3.4198	-3.2667	-3.3122	-3.1576	-2.6793	-3.352	-2.9281	-3.4382	-2.7836	-3.4499	-2.4211	-2.9783	-2.862	-3.5497	-3.0621
C9orf165	-1.5635	-1.9104	-1.7919	-1.7723	-1.2941	-2.3502	-1.7413	-1.6259	-1.9364	-1.6716	-1.2159	-1.6572	-2.0194	-2.0215	-2.3741	-1.2503	-1.4094	-1.5248	-1.9717	-2.121	-1.6374	-2.0161	-1.6384	-1.4415	-1.8691	-2.0028	-1.2769
C9orf18	-1.3837625	-1.2966625	-1.4304625	-1.3339625	-1.7330625	-1.0776625	-1.6328625	-1.0559625	-0.9811625	-1.6750625	-1.3131625	-1.4543625	-1.0574625	-0.5415625	-1.2094625	-1.1808625	-1.0195625	-1.8759625	-1.3975625	-1.0096625	-1.9710625	-1.5077625	-1.2916625	-1.9921625	-1.7529625	-1.1056625	-2.0820625
C9orf19	-0.532863158	-0.183563158	0.194636842	0.031836842	-0.143463158	0.005536842	-0.107563158	-0.478263158	0.160936842	0.041636842	-0.174063158	0.345036842	-0.206963158	-0.042163158	-0.104763158	0.063836842	0.002536842	-0.116663158	0.093536842	0.216236842	-0.097963158	0.089436842	0.196336842	0.282136842	-0.379063158	-0.117963158	0.428436842
C9orf21	0.7604625	0.9929625	1.3217625	0.9256625	0.8746625	0.3633625	1.0793625	0.9953625	1.0797625	1.2108625	0.5896625	1.1663625	1.1305625	0.8818625	0.9673625	0.9766625	0.8281625	0.8369625	1.2529625	1.4860625	0.5718625	1.0628625	0.9924625	0.9250625	0.9734625	1.1226625	0.6791625
C9orf23	-0.3894	-0.4396	-0.3966	-0.3551	-0.2391	-0.4667	-0.3473	0.0527	-0.2442	-0.2957	-0.1579	0.1821	-0.3592	-0.362	-0.3069	0.1837	0.0898	-0.2741	-0.1076	-0.2792	-0.2963	-0.4987	-0.0877	-0.218	-0.3782	-0.0777	0.2692
C9orf24	-5.3237	-4.8736	-5.0031	-5.1962	-5.0436	-5.2578	-5.0017	-5.1047	-5.4121	-4.4916	-5.091	-4.7226	-5.064	-5.5535	-4.8527	-4.8179	-4.7505	-5.1771	-5.4994	-3.5347	-4.6994	-5.7851	-5.0092	-5.1111	-4.2613	-4.8319	-4.6019
C9orf25	-1.277833333	-1.279433333	-1.335233333	-1.181133333	-1.117333333	-1.330433333	-1.239133333	-1.296033333	-1.356633333	-1.112733333	-1.120333333	-1.171133333	-1.254733333	-1.316533333	-1.295433333	-0.994333333	-1.240333333	-1.276933333	-1.352333333	-1.208733333	-1.374133333	-1.391933333	-1.355133333	-1.287933333	-1.406133333	-1.251533333	-1.143233333
C9orf27	-0.159954545	-0.178254545	-0.151754545	-0.155054545	-0.092954545	-0.136954545	-0.147954545	-0.274254545	-0.169954545	-0.349454545	-0.120454545	-0.046054545	-0.168454545	-0.169154545	-0.162254545	-0.161554545	-0.189054545	-0.150854545	-0.167854545	-0.162854545	-0.237554545	-0.170454545	-0.158454545	0.023145455	-0.172354545	-0.172254545	-0.319254545
C9orf3	-0.059376923	-1.274176923	-0.056376923	-0.992976923	-0.857076923	-0.000276923	-0.233976923	-0.246276923	-0.589476923	0.280323077	-0.767276923	-0.903776923	-0.998576923	-0.866776923	-0.818876923	-0.027076923	-0.173976923	-0.973776923	-0.680476923	-0.400176923	-0.185376923	-1.083576923	0.190723077	-0.648676923	-0.318776923	-0.028276923	-0.697576923
C9orf30	0.2679	0.2913	0.772	0.4855	0.4916	0.3391	0.4541	0.4693	0.5844	0.5968	0.527	0.6696	0.6792	0.9591	0.4786	0.8465	0.7648	0.054	0.2703	0.7051	0.7038	0.2296	0.5456	0.3103	0.3751	0.9794	0.1958
C9orf31	-0.304266667	-0.115366667	0.577333333	-0.296566667	-0.012666667	0.175533333	0.187533333	-0.376166667	0.100833333	0.027433333	-0.025466667	-0.068166667	0.150833333	0.149833333	0.183833333	0.120933333	-0.318966667	-0.436266667	-0.315766667	0.385933333	-0.410666667	-0.364566667	-0.319166667	-0.279666667	0.038733333	0.186233333	-0.283366667
C9orf32	0.7361	0.8732	0.8484	0.8318	0.8368	0.8536	0.8813	0.7713	0.9469	0.858	0.9048	0.9582	0.8969	0.7864	0.538	1.0816	0.9514	0.9356	0.8247	0.8867	0.936	0.8117	0.774	0.7931	0.9435	1.0103	0.6761
C9orf37	0.2864	-0.0602	0.3502	0.2227	0.415	0.3772	0.3705	0.305	0.3515	0.3785	0.4141	0.477	0.3832	0.1848	0.2132	0.8211	0.6621	0.3994	0.3317	0.15	0.3675	0.2852	0.365	0.3507	0.4263	0.4135	0.4833
C9orf38	0.3421	-0.2002	0.6242	0.4054	0.3263	0.9042	0.4354	0.2138	0.407	0.1085	0.4191	-0.0174	0.4278	0.4095	0.4667	0.2554	-0.4685	-0.1552	-0.0185	0.4892	-0.2416	-0.1308	-0.046	-0.1353	-0.2015	0.1899	-0.1416
C9orf39	1.59335	1.65295	1.95185	1.85335	1.82965	1.68705	1.82435	2.09035	1.77805	1.73255	1.88195	1.80615	1.83095	2.09805	2.03415	1.07665	1.33995	1.37465	1.88375	2.01675	1.72405	1.73115	1.95045	1.70095	1.23055	1.77025	1.56585
C9orf4	-2.9442	-3.1576	-2.8806	-3.2414	-2.3499	-3.3217	-3.4451	-2.5448	-4.1755	-2.8019	-3.1006	-3.2244	-2.9349	-3.832	-4.0608	-2.677	-2.5244	-3.9448	-3.2102	-3.7044	-2.4992	-4.2208	-3.4515	-2.8774	-3.8218	-4.1506	-4.1558
C9orf40	0.2465125	0.1521125	0.5210125	-0.0264875	0.2000125	0.2125125	0.1477125	0.5065125	0.3860125	0.1127125	0.0538125	0.1377125	0.1422125	0.3602125	-0.1566875	0.3251125	0.3249125	0.2532125	0.2222125	-0.0140875	0.0865125	0.0279125	-0.0273875	0.2523125	0.1261125	0.3039125	-0.0599875
C9orf41	1.2019	1.3718	1.6549	1.3766	1.9919	1.5243	1.6894	1.1746	1.5279	1.8971	1.3687	1.8059	1.669	1.8555	1.4836	1.3075	1.6614	1.6455	1.3713	1.4504	1.5312	1.6265	1.1369	1.8276	1.5013	1.7237	1.6011
C9orf43	0.4465	0.2673	0.7633	0.2052	0.4005	0.2436	0.3391	0.1782	0.1973	0.772	0.2062	0.6537	0.1072	0.2829	0.253	0.5293	0.8242	0.3931	0.207	0.9525	0.8267	0.2978	0.0612	0.6059	0.0596	0.99	0.4606
C9orf45	-1.1912875	-1.9983875	-1.7322875	-1.9526875	-1.5187875	-1.4928875	-1.8246875	-1.4547875	-1.9371875	-2.0715875	-1.9176875	-1.6437875	-2.0657875	-1.6177875	-1.9635875	-1.2542875	-0.9001875	-1.8464875	-1.7933875	-2.0423875	-1.1193875	-1.7973875	-1.0243875	-2.0801875	-1.5882875	-2.1717875	-1.5990875
C9orf46	0.8499	0.7256	1.0821	1.3354	0.938	0.7612	0.7822	1.2662	1.108	0.6451	1.0576	1.2556	0.9021	1.3134	1.5639	0.7534	0.7276	0.9022	0.972	1.0774	1.1351	1.0186	1.0908	0.5472	0.9328	1.0959	0.8702
C9orf47	-0.44195	-0.83785	-0.50825	-0.42165	-0.69435	-0.55185	-0.88315	-0.82885	-0.49615	-0.76095	-0.69135	-0.85225	-0.58195	-0.58765	-0.43995	-1.05055	-1.16255	-0.58165	-0.90395	-0.27185	-0.85155	-0.94935	-0.76015	-0.67765	-0.57355	-0.45205	-1.01445
C9orf5	-0.5922	-0.2729	0.0044	-0.5431	-0.4279	-0.5908	-0.2516	-0.2663	-0.3867	-0.2465	-0.4201	-0.0784	-0.4632	-0.5148	-0.6209	-0.286	-0.2934	-0.133	-0.3418	-0.5369	-0.4474	-0.174	-0.44	-0.3909	-0.3804	-0.4946	-0.6218
C9orf50	-1.566966667	-1.348966667	-1.219766667	-1.492266667	-1.568466667	-1.793066667	-1.515566667	-1.062566667	-1.189066667	-1.033966667	-1.717066667	-0.853766667	-1.321066667	-1.641166667	-2.310266667	-1.253366667	-1.310266667	-1.429066667	-1.545666667	-1.129166667	-1.415566667	-1.699866667	-1.147566667	-1.571066667	-1.587366667	-1.075966667	-1.821366667
C9orf52	0.3789	0.7898	1.1413	1.35	0.9164	0.7148	0.9354	0.9915	0.9939	0.5534	0.2787	1.4927	1.1497	0.9581	1.8001	0.8342	0.8909	0.9134	1.2308	1.0903	0.7296	0.9709	0.9207	0.8514	0.7544	1.7055	0.3323
C9orf53	0.0743375	0.1789375	0.0835375	0.2741375	-0.2495625	0.3808375	-0.1712625	-0.0406625	-0.0839625	0.2376375	-0.2347625	0.2677375	0.1285375	-0.1067625	-0.1297625	0.1032375	0.1185375	-0.1135625	-0.0142625	-0.1132625	-0.0187625	-0.2734625	-0.1940625	0.0790375	-0.2886625	0.0224375	-0.2161625
C9orf58	-1.4565	-1.4614	-0.7999	-0.8323	-0.8153	-2.5443	-1.082	-1.0407	-0.9945	-0.8035	-1.3202	-0.6274	-0.8485	-2.4529	-0.9975	-1.0336	-1.1445	-1.4005	-1.1627	-2.5814	-1.3127	-1.0593	-1.1842	-1.0343	-0.768	-1.7643	-1.4635
C9orf6	0.4514625	0.5200625	0.5718625	0.1539625	0.3710625	0.1712625	0.3858625	0.7865625	0.5045625	0.3705625	0.5424625	0.7156625	0.4134625	0.4131625	0.1966625	0.4216625	0.4709625	0.2784625	0.3776625	0.4197625	0.4662625	0.4330625	0.4434625	0.2282625	0.6454625	0.5282625	0.1527625
C9orf61	-1.8325	-1.3125	-1.5819	-1.7072	-1.1204	-1.7184	-1.4883	-1.6803	-1.4519	-1.2152	-1.3309	-1.1659	-1.7063	-1.5587	-1.6026	-1.3085	-1.4467	-0.2797	-1.3618	-1.725	-1.1834	-1.2653	-1.7482	-1.0947	-1.7283	-1.7291	-1.0735
C9orf62	-1.4056	-1.2044	-1.3792	-1.1054	-1.0084	-0.9228	-1.1224	-2.1948	-1.481	-1.2472	-1.348	-0.9057	-1.1954	-1.1093	-1.3965	-1.3791	-1.1909	-1.3151	-1.2652	-1.6032	-1.1702	-1.5824	-1.2997	-1.1834	-1.3175	-1.4911	-1.4257
C9orf64	1.1688	1.5245	1.5735	1.1605	1.2324	1.2834	1.2572	1.3383	1.5843	1.1857	1.3067	0.6938	1.5065	1.2052	1.1343	1.3453	1.3232	1.4408	1.3959	1.3532	1.3848	1.3981	1.3923	1.3698	1.3778	1.6171	1.2633
C9orf66	0.08785	0.18555	0.85105	0.20205	0.29425	1.19245	0.87475	0.33635	0.24895	0.68395	0.75125	0.29155	0.08545	0.47345	0.94625	0.37795	-0.13595	0.77175	0.24955	0.73175	0.25595	0.68645	0.00655	0.00255	0.66305	0.84835	0.48445
C9orf68	-0.0527	-1.2394	-1.1531	-1.143	-1.0898	-0.4281	-1.1549	-0.538	-1.0966	-1.11	-1.197	-0.0977	-0.8561	-0.9446	-0.3649	-0.6643	-0.4301	-0.857	-0.3677	-0.9219	-0.2594	-1.2056	-0.2663	-0.8874	-1.1277	-0.7516	-1.1566
C9orf7	0.5182	0.5286	0.7242	0.6833	0.7954	0.7516	0.7466	0.5185	0.5875	0.6376	1.0103	0.7129	0.6039	0.8281	0.7027	0.7811	0.5265	0.6834	0.4081	0.4769	0.4976	0.6209	0.712	0.5772	0.6753	0.7028	0.7956
C9orf70	-0.232	-0.3567	-0.2259	-0.1466	0.1268	-0.1216	-0.1352	-0.156	-0.1567	0.2192	0.2884	0.0926	-0.2881	-0.1497	0.0406	-0.5009	-0.1493	-0.3396	-0.1566	-0.1479	-0.009	-0.0287	-0.206	0.098	-0.3797	-0.0029	-0.1012
C9orf71	-0.4775	-0.7067	-0.5041	-0.6263	-0.1468	-0.7088	-0.5269	-0.49	-0.4246	-0.6914	-0.4993	-0.6836	-0.8237	-0.4886	-0.4863	-0.2742	-0.4077	-0.621	-0.4744	-0.6822	-0.6489	-0.5151	-0.4178	-0.2453	-0.6534	-0.5022	-0.625
C9orf72	-0.8553	-1.183	-0.3251	-0.6709	-1.0836	-1.4797	-0.8856	-0.482	-0.7496	-0.9589	-1.7626	-0.7009	-1.1362	-0.6267	-0.7379	-0.9363	-0.985	-0.4975	-1.1918	-0.1616	-0.4543	-0.8503	-0.8588	-1.0684	-0.8488	-0.8901	-0.502
C9orf75	0.5926	0.0514	0.4966	0.2722	0.2333	0.145	0.5016	-0.04	0.2852	0.406	0.325	0.4725	0.2012	0.1951	0.123	0.2801	0.1975	0.3776	0.1357	0.0624	0.2079	0.3016	0.4423	0.2958	0.3777	0.1934	0.1839
C9orf78	0.7916	0.9009	0.8169	0.7329	0.8977	0.8078	0.9254	0.8712	0.858	0.9177	1.0261	1.0073	0.7141	0.6576	0.6832	0.9368	0.8703	1.1214	0.8305	0.7082	0.8082	0.8806	0.7875	0.8727	0.948	0.9452	0.7011
C9orf79	0.098733333	0.072333333	0.109433333	0.111333333	0.304033333	0.134233333	0.106433333	0.115133333	0.089633333	0.475933333	0.187833333	0.288333333	0.103533333	0.129933333	0.063333333	0.741733333	0.066933333	0.047233333	0.078033333	0.106633333	0.137233333	-0.046966667	1.257033333	0.301033333	-0.177266667	0.028433333	0.019733333
C9orf80	0.2213	0.0074	0.4983	0.3354	0.4318	0.6615	0.4991	0.2039	0.222	0.4815	0.839	0.1305	0.3317	0.2659	0.6533	0.2202	-0.0668	0.2917	0.2216	0.4438	-0.119	0.1882	0.3381	0.0775	0.359	0.4808	0.2905
C9orf82	1.1135	1.0438	1.3347	0.9526	1.2215	0.8257	1.161	1.8297	1.1471	1.2346	1.153	1.4336	-0.5438	1.1128	0.6914	0.9811	0.9535	1.3675	1.505	1.4192	1.2112	1.2808	1.0929	1.0225	1.1296	1.1247	1.6385
C9orf84	0.205633333	0.575133333	0.216933333	0.219633333	0.495533333	0.243033333	0.212433333	0.221333333	0.196833333	0.296633333	0.235433333	0.427133333	0.212733333	0.243233333	0.211733333	0.152633333	0.173633333	0.183233333	0.183033333	0.215233333	0.451033333	0.101733333	0.212133333	0.292833333	0.188933333	0.194033333	0.120733333
C9orf85	1.5297	1.3523	1.3203	1.1615	1.4575	1.4012	1.3671	1.7713	1.2267	1.3456	1.6718	1.2581	1.2716	1.2681	1.0691	1.2709	1.2054	1.3928	1.3103	1.4927	1.2364	1.1602	1.3471	1.2601	1.3378	1.3512	1.0276
C9orf86	-0.286807692	-0.437307692	-0.104107692	-0.203107692	-0.021807692	-0.241007692	-0.173707692	-0.390507692	-0.281107692	-0.114207692	-0.099007692	-0.200307692	-0.508107692	-0.375007692	-0.708407692	-0.187307692	-0.286207692	-0.350307692	-0.375507692	-0.225607692	-0.415307692	-0.323007692	-0.139607692	-0.186907692	-0.220107692	-0.402807692	-0.512307692
C9orf89	-0.6289	-0.7124	-0.08	-0.3687	-0.3168	-0.4119	-0.2305	-0.3475	-0.6033	-0.0794	-0.4026	0.0965	-0.3512	-0.4797	-0.3917	-0.4452	-0.4867	-0.4813	-0.6045	-0.3793	-0.5081	-0.8421	-0.8527	-0.4693	-0.5186	-0.348	-0.7252
C9orf9	-2.1691	-2.0582	-1.8478	-2.317	-1.8399	-1.9718	-2.0327	-1.6186	-2.0436	-1.9864	-1.7898	-1.1038	-1.7594	-2.0496	-2.2197	-1.3325	-1.3803	-1.7012	-1.8367	-1.8365	-1.6213	-2.1081	-1.8851	-1.9867	-1.5331	-1.6309	-2.3045
C9orf90	0.491072727	0.750072727	0.890372727	1.116272727	0.804872727	0.956672727	0.715172727	0.257672727	0.493872727	0.692872727	1.145472727	0.587672727	0.971072727	1.094072727	0.826072727	0.720872727	0.467172727	0.872472727	0.463772727	0.569572727	0.385872727	0.481072727	0.587072727	0.567672727	0.485872727	1.125772727	0.887172727
C9orf91	-1.202542857	-1.158542857	-1.266242857	-1.348542857	-1.201842857	-1.197042857	-1.175542857	-0.962042857	-1.138642857	-1.285542857	-1.214942857	-0.962242857	-1.576842857	-1.202642857	-1.389342857	-0.946842857	-1.094542857	-1.194142857	-1.137742857	-0.963642857	-0.935642857	-1.315942857	-1.203642857	-1.290142857	-1.372542857	-1.223342857	-1.355142857
C9orf93	0.129681818	-0.202318182	-0.318618182	0.004581818	-0.276918182	-0.769418182	-0.694018182	-0.191318182	-0.376518182	-0.347418182	-0.259018182	0.320481818	-0.145618182	-0.218918182	0.095281818	-0.296018182	-0.032418182	-0.340218182	-0.146318182	-0.293918182	0.121981818	-0.142318182	0.338981818	-0.319018182	-0.414918182	-0.110418182	-0.170518182
C9orf95	-0.6945	-1.3375	-1.0698	-0.5455	-0.9703	-0.4485	-0.9078	-0.6058	-0.9405	-0.6346	-1.1572	-0.5966	-0.4903	-0.4228	-0.2173	-1.4076	-1.258	-1.1474	-0.8941	-0.6967	-0.5073	-0.6759	-0.6323	-1.7433	-0.2576	-0.4371	-1.246
C9orf97	0.3126	0.1872	0.3804	0.0592	0.2236	0.3253	0.214	0.4116	0.2771	0.1157	0.4217	0.2865	0.2672	0.1488	0.0865	0.4629	0.4978	0.0845	0.2133	0.1347	0.3125	0.2439	0.4745	0.2166	0.3289	0.2401	0.081
